CVE_ENT,TOTAL,FUERA_TOTAL,PORC_FUERA
07,212429,7478,3.52
27,581534,3187,0.55
16,327334,8270,2.53
18,134039,2205,1.65
13,211723,16238,7.67
29,131140,10663,8.13
02,373523,4566,1.22
23,215054,3078,1.43
05,421217,6099,1.45
30,397375,17998,4.53
08,263565,2247,0.85
14,568231,8789,1.55
15,1801962,780635,43.32
31,291355,2131,0.73
32,157862,3387,2.15
17,330612,7981,2.41
03,299265,1265,0.42
28,368370,5576,1.51
24,577360,4094,0.71
01,212559,2904,1.37
12,240956,8111,3.37
10,181420,5855,3.23
20,236156,5555,2.35
09,5553568,41476,0.75
19,772451,6129,0.79
22,321073,6703,2.09
26,364776,2500,0.69
04,106655,1836,1.72
21,421763,12708,3.01
06,123466,1105,0.89
11,741341,9459,1.28
25,370885,3865,1.04
