entidad,frecuencia,porcentaje
CIUDAD DE MÉXICO,5553568,32.08
MÉXICO,1801962,10.41
NUEVO LEÓN,772451,4.46
GUANAJUATO,741341,4.28
TABASCO,581534,3.36
SAN LUIS POTOSÍ,577360,3.34
JALISCO,568231,3.28
PUEBLA,421763,2.44
COAHUILA DE ZARAGOZA,421217,2.43
VERACRUZ DE IGNACIO DE LA LLAVE,397375,2.3
BAJA CALIFORNIA,373523,2.16
SINALOA,370885,2.14
TAMAULIPAS,368370,2.13
SONORA,364776,2.11
MORELOS,330612,1.91
MICHOACÁN DE OCAMPO,327334,1.89
QUERÉTARO,321073,1.85
BAJA CALIFORNIA SUR,299265,1.73
YUCATÁN,291355,1.68
CHIHUAHUA,263565,1.52
GUERRERO,240956,1.39
OAXACA,236156,1.36
QUINTANA ROO,215054,1.24
AGUASCALIENTES,212559,1.23
CHIAPAS,212429,1.23
HIDALGO,211723,1.22
DURANGO,181420,1.05
ZACATECAS,157862,0.91
NAYARIT,134039,0.77
TLAXCALA,131140,0.76
COLIMA,123466,0.71
CAMPECHE,106655,0.62
