RES,total,fuera,porcentaje_fuera
MÉXICO,1801962,780635,43.3213907951444
TLAXCALA,131140,10663,8.131005032789385
HIDALGO,211723,16238,7.669454900979109
VERACRUZ DE IGNACIO DE LA LLAVE,397375,17998,4.5292230261088395
CHIAPAS,212429,7478,3.520234996163424
GUERRERO,240956,8111,3.366174737296436
DURANGO,181420,5855,3.2273178260390254
PUEBLA,421763,12708,3.01306658004614
MICHOACÁN DE OCAMPO,327334,8270,2.5264714328484055
MORELOS,330612,7981,2.414007960993551
OAXACA,236156,5555,2.3522586764680975
ZACATECAS,157862,3387,2.145544842964108
QUERÉTARO,321073,6703,2.0876872237777704
CAMPECHE,106655,1836,1.721438282312128
NAYARIT,134039,2205,1.6450436067114795
JALISCO,568231,8789,1.546730115041242
TAMAULIPAS,368370,5576,1.5136954692293074
COAHUILA DE ZARAGOZA,421217,6099,1.4479472575893186
QUINTANA ROO,215054,3078,1.4312684256047319
AGUASCALIENTES,212559,2904,1.3662089114081266
GUANAJUATO,741341,9459,1.2759310492742206
BAJA CALIFORNIA,373523,4566,1.222414683968591
SINALOA,370885,3865,1.0421019992720115
COLIMA,123466,1105,0.8949832342507249
CHIHUAHUA,263565,2247,0.8525411188890786
NUEVO LEÓN,772451,6129,0.7934483870174289
CIUDAD DE MÉXICO,5553568,41476,0.7468351877567718
YUCATÁN,291355,2131,0.7314101354018294
SAN LUIS POTOSÍ,577360,4094,0.709089649438825
SONORA,364776,2500,0.6853521064982345
TABASCO,581534,3187,0.5480333050174194
BAJA CALIFORNIA SUR,299265,1265,0.4227022872704793
