ENTIDAD_RES_NOMBRE,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MÉXICO,COAHUILA DE ZARAGOZA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MICHOACÁN DE OCAMPO,MORELOS,MÉXICO,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ DE IGNACIO DE LA LLAVE,YUCATÁN,ZACATECAS
AGUASCALIENTES,209655,10,8,5,6,14,830,20,6,18,191,4,9,193,25,21,54,4,24,7,33,14,2,952,29,8,15,5,5,6,4,382
BAJA CALIFORNIA,15,368957,379,7,20,20,1381,19,13,21,76,45,14,121,74,32,53,66,32,18,54,18,6,137,626,1204,48,17,9,18,4,19
BAJA CALIFORNIA SUR,6,77,298000,3,7,10,590,7,8,10,36,42,4,43,12,10,27,6,17,5,21,5,8,23,184,54,14,9,5,14,4,4
CAMPECHE,3,3,9,104819,9,3,284,14,0,5,13,6,6,5,5,5,27,1,7,6,26,5,131,22,15,1,688,23,6,36,471,1
CHIAPAS,12,7,11,54,204951,59,1841,8,3,1,31,13,8,38,33,17,96,8,68,42,87,29,18,54,36,33,4761,17,4,48,28,13
CHIHUAHUA,8,4,13,10,4,261318,964,306,3,84,31,9,24,27,11,14,35,3,65,13,32,9,5,160,131,53,24,27,5,22,7,144
CIUDAD DE MÉXICO,118,71,226,159,141,120,5512092,155,64,82,678,635,1066,279,321,1852,26727,48,261,238,1817,540,130,1322,2734,97,477,190,281,389,125,133
COAHUILA DE ZARAGOZA,15,5,16,9,8,116,800,415118,36,2908,56,12,16,39,10,20,37,7,1301,6,35,22,5,241,69,14,27,47,12,13,5,192
COLIMA,2,5,4,5,34,12,422,9,122361,2,40,10,3,310,74,6,32,6,3,6,9,7,1,37,22,3,10,7,1,7,2,14
DURANGO,13,4,5,7,1,233,450,3940,2,175565,75,5,10,34,11,7,17,89,87,2,6,5,2,117,336,9,12,12,5,7,6,346
GUANAJUATO,59,26,19,40,8,26,2534,36,24,21,731882,36,48,314,1265,70,229,19,63,10,123,2058,11,2084,90,13,48,47,20,23,2,93
GUERRERO,10,43,31,10,13,29,4516,19,10,5,107,232845,21,76,989,740,631,16,39,55,376,64,10,72,57,26,48,16,5,42,7,28
HIDALGO,4,0,16,33,10,19,11446,23,7,7,85,35,195485,45,23,51,2284,2,44,17,438,446,4,817,39,10,32,99,90,73,12,27
JALISCO,497,38,52,15,14,36,2134,44,1275,17,987,51,26,559442,520,47,169,893,50,31,74,79,21,518,521,47,60,41,17,27,12,476
MICHOACÁN DE OCAMPO,15,27,20,16,5,13,2657,17,361,12,1973,379,16,962,319064,45,1124,20,23,6,66,128,14,155,75,22,37,25,6,29,8,14
MORELOS,13,3,10,22,6,9,6483,15,4,3,89,191,41,27,36,322631,367,6,23,15,347,26,11,72,40,17,34,14,9,11,23,14
MÉXICO,79,40,83,99,63,89,768874,100,34,111,584,401,2642,271,500,1582,1021327,44,172,180,1357,541,68,1098,389,63,337,138,223,265,68,140
NAYARIT,5,22,13,7,5,4,286,6,16,13,48,6,2,1383,17,8,48,131834,21,5,12,12,1,43,174,12,10,5,0,2,7,12
NUEVO LEÓN,20,15,40,26,24,53,1652,480,7,49,105,22,33,66,37,37,62,17,766322,30,187,48,19,2112,181,30,99,497,10,72,17,82
OAXACA,2,10,51,64,82,11,2741,10,9,5,77,211,15,34,25,38,311,1,27,230601,688,15,9,103,27,19,89,24,18,814,7,18
PUEBLA,14,23,20,81,26,16,6768,18,7,9,98,83,433,83,29,878,448,12,51,145,409055,46,26,373,88,20,154,40,1904,772,16,27
QUERÉTARO,17,9,9,19,9,23,3407,20,9,13,968,49,114,33,139,57,246,12,50,20,287,314370,12,873,89,10,45,46,25,58,8,27
QUINTANA ROO,8,5,4,107,29,8,1115,11,2,6,21,17,17,37,15,27,34,2,25,13,48,63,211976,46,32,7,278,10,7,59,1012,13
SAN LUIS POTOSÍ,35,8,15,26,1,19,1172,51,4,13,444,20,39,71,17,8,48,9,539,8,68,156,4,573266,35,8,33,653,7,46,6,531
SINALOA,7,78,82,18,2,61,2457,25,17,121,67,18,16,171,29,17,37,86,29,6,23,15,2,129,367020,246,44,20,2,13,2,25
SONORA,5,560,58,9,2,38,654,22,6,17,71,17,9,83,17,8,40,17,39,8,20,8,3,124,527,362276,53,8,6,12,8,51
TABASCO,8,3,12,740,216,7,1175,13,4,5,36,18,14,24,37,13,90,8,51,30,104,34,49,75,25,12,578347,59,11,203,101,10
TAMAULIPAS,12,5,11,372,6,18,874,76,3,14,60,12,28,25,38,18,46,6,1830,14,570,30,10,888,50,10,217,362794,6,299,3,25
TLAXCALA,6,2,9,14,2,6,2041,8,2,2,42,11,150,27,18,32,155,2,8,10,7924,24,4,67,4,2,22,7,120477,47,4,11
VERACRUZ DE IGNACIO DE LA LLAVE,13,10,32,973,55,47,5768,35,9,8,100,20,553,61,65,47,300,9,134,383,2211,58,27,648,101,26,1191,4956,69,379377,55,34
YUCATÁN,9,2,7,555,7,3,791,11,1,4,14,7,9,23,12,7,23,0,19,9,73,9,188,25,21,7,242,17,6,27,289224,3
ZACATECAS,828,2,9,12,2,21,407,223,10,241,96,6,4,466,8,6,24,4,54,4,22,7,1,842,41,6,14,18,0,8,1,154475
